Age of Members of 117th Congress,Title,Party,Age,Birthday,Number of Terms,Committee List
Sen. Marco Rubio (R-FL),US Senator,Republican,50,5/28/1971,3,"Intelligence (Vice Chair), Appropriations, Foreign Relations, Small Business, Aging"
Sen. Bernie Sanders (I-VT),US Senator,Independent,80,9/8/1941,6,"Chair of Outreach | Budget (Chair), Energy, HELP, Environment, Veterans' Affairs"
Outgoing Sen. Ben Sasse (R-NE),US Senator,Republican,50,2/22/1972,2,"Finance, Budget, Judiciary, Intelligence"
Sen. Brian Schatz (D-HI),US Senator,Democrat,49,10/20/1972,3,"Chair, Chief Deputy Majority Whip, Deputy Conference Secretary, Member | Indian Affairs (Chair), Appropriations, Foreign Relations, Commerce, Ethics"
Sen.-elect Eric Schmitt (R-MO),US Senator,Republican,47,6/20/1975,1,
Leader Chuck Schumer (D-NY),US Senator,Democrat,71,11/23/1950,8,"Chairman, Member, Senate Majority Leader | Senate Rules"
Sen. Rick Scott (R-FL),US Senator,Republican,69,12/1/1952,1,"Chairman | Budget, Armed Services, Homeland Security, Commerce, Aging"
Sen. Tim Scott (R-SC),US Senator,Republican,56,9/19/1965,3,"Assistant Chair, Deputy Minority Whip | Aging (Ranking Member), Finance, Banking, HELP, Small Business"
Sen. Jeanne Shaheen (D-NH),US Senator,Democrat,75,1/28/1947,3,"Member, Vice Chair | Appropriations, Foreign Relations, Armed Services, Small Business, Ethics"
Outgoing Sen. Richard Shelby (R-AL),US Senator,Republican,87,5/6/1934,8,"Appropriations (Ranking Member), Banking, Environment, Senate Rules, Library"
Sen. Kyrsten Sinema (I-AZ),US Senator,Independent,45,7/12/1976,2,"Banking, Homeland Security, Commerce, Veterans' Affairs"
Sen. Tina Smith (D-MN),US Senator,Democrat,64,3/4/1958,2,"Member | Banking, HELP, Agriculture, Indian Affairs"
Sen. Debbie Stabenow (D-MI),US Senator,Democrat,71,4/29/1950,5,"Chair, Chair of the Senate Democratic Policy and Communication Committee, Member | Agriculture (Chair), Finance, Budget, Environment, Taxation"
Sen. Dan Sullivan (R-AK),US Senator,Republican,57,11/13/1964,2,"Armed Services, Commerce, Environment, Veterans' Affairs"
Sen. Jon Tester (D-MT),US Senator,Democrat,65,8/21/1956,3,"Member | Veterans' Affairs (Chair), Appropriations, Banking, Commerce, Indian Affairs"
Whip John Thune (R-SD),US Senator,Republican,61,1/7/1961,4,"Senate Minority Whip | Finance, Commerce, Agriculture"
Sen. Thom Tillis (R-NC),US Senator,Republican,61,8/30/1960,2,"Deputy Minority Whip, Vice Chairman | Banking, Judiciary, Armed Services, Veterans' Affairs"
Outgoing Sen. Pat Toomey (R-PA),US Senator,Republican,60,11/17/1961,2,"Banking (Ranking Member), Finance, Budget"
Sen. Tommy Tuberville (R-AL),US Senator,Republican,67,9/18/1954,1,"Armed Services, HELP, Agriculture, Veterans' Affairs"
Sen.-elect David Vance (R-OH),US Senator,Republican,38,8/2/1984,1,
Sen. Chris Van Hollen (D-MD),US Senator,Democrat,63,1/10/1959,5,"Appropriations, Banking, Budget, Foreign Relations"
Sen. Mark Warner (D-VA),US Senator,Democrat,67,12/15/1954,3,"Member, Vice Chair of the Conference | Intelligence (Chair), Finance, Banking, Budget, Senate Rules, Library"
Sen. Raphael Warnock (D-GA),US Senator,Democrat,52,7/23/1969,2,"Banking, Commerce, Agriculture, Aging, Economy"
Sen. Elizabeth Warren (D-MA),US Senator,Democrat,72,6/22/1949,2,"Member, Vice Chair of the Conference | Finance, Banking, Armed Services, Aging"
Sen.-elect Peter Welch (D-VT),US Senator,Democrat,74,5/2/1947,1,"Chief Deputy Majority Whip | Energy, Intelligence, Oversight"
Sen. Sheldon Whitehouse (D-RI),US Senator,Democrat,66,10/20/1955,3,"Member | Finance, Budget, Judiciary, Environment"
Sen. Roger Wicker (R-MS),US Senator,Republican,70,7/5/1951,5,"Counsel to the Minority Leader | Commerce (Ranking Member), Armed Services, Environment, Senate Rules, Printing"
Sen. Ron Wyden (D-OR),US Senator,Democrat,72,5/3/1949,8,"Member | Finance (Chair), Taxation (Vice Chair), Budget, Energy, Intelligence"
Sen. Todd Young (R-IN),US Senator,Republican,49,8/24/1972,3,"Deputy Minority Whip | Finance, Foreign Relations, Small Business, Commerce"
Rep. Alma Adams (D-NC-12),US Representative,Democrat,75,5/27/1946,6,"Member | Financial Services, Agriculture, Education"
Rep. Robert Aderholt (R-AL-4),US Representative,Republican,56,7/22/1965,14,Appropriations
Rep. Pete Aguilar (D-CA-31),US Representative,Democrat,42,6/19/1979,5,"Chairman, Co-Chair, Democratic Caucus Chair, Member, Vice Chair | Appropriations, House Administration, U.S. Capitol"
Rep.-elect Mark Alford (R-MO-4),US Representative,Republican,59,10/4/1963,1,
Rep. Rick Allen (R-GA-12),US Representative,Republican,70,11/7/1951,5,"Member | Agriculture, Education"
Rep. Colin Allred (D-TX-32),US Representative,Democrat,38,4/15/1983,3,"Caucus Leadership Representative of Five Terms or Less, Chief Deputy Whip, Member, Vice Chair | Foreign Affairs, Transportation, Veterans' Affairs"
Rep. Mark Amodei (R-NV-2),US Representative,Republican,63,6/12/1958,7,Appropriations
Rep. Kelly Armstrong (R-ND-1),US Representative,Republican,45,10/8/1976,3,"Member, Small States Representative, Vice Chair for State Party Outreach | Energy, Ethics, Climate Crisis"
Rep. Jodey Arrington (R-TX-19),US Representative,Republican,50,3/9/1972,4,"Deputy Chair, Member | Ways and Means, Economy, Economic Disparity and Fairness in Growth"
Rep. Jake Auchincloss (D-MA-4),US Representative,Democrat,34,1/29/1988,2,"Financial Services (Vice Chair), Transportation"
Outgoing Rep. Cindy Axne (D-IA-3),US Representative,Democrat,56,4/20/1965,2,"Member | Financial Services, Agriculture"
Rep. Brian Babin (R-TX-36),US Representative,Republican,73,3/23/1948,5,"Transportation, Science / Technology"
Rep. Don Bacon (R-NE-2),US Representative,Republican,58,8/16/1963,4,"Member | Armed Services, Agriculture"
Rep. Jim Baird (R-IN-4),US Representative,Republican,76,6/4/1945,3,"Agriculture, Science / Technology"
Rep. Troy Balderson (R-OH-12),US Representative,Republican,60,1/16/1962,4,"Agriculture, Transportation"
Rep.-elect Becca Balint (D-VT-1),US Representative,Democrat,54,5/4/1968,1,President Pro Tem
Rep. Jim Banks (R-IN-3),US Representative,Republican,42,7/16/1979,4,"Member, Region VI Representative | Armed Services, Education, Veterans' Affairs"
Rep. Andy Barr (R-KY-6),US Representative,Republican,48,7/24/1973,6,"Member | Financial Services, Foreign Affairs"
Rep. Nanette Barragán (D-CA-44),US Representative,Democrat,45,9/15/1976,4,"Member | Energy, Homeland Security"
Rep.-elect Aaron Bean (R-FL-4),US Representative,Republican,55,1/25/1967,1,President Pro Tempore
Rep. Joyce Beatty (D-OH-3),US Representative,Democrat,72,3/12/1950,6,"Member | Financial Services, Economy"
Rep. Cliff Bentz (R-OR-2),US Representative,Republican,70,1/12/1952,2,"Member | Judiciary, Natural Resources"
Rep. Ami Bera (D-CA-7),US Representative,Democrat,57,3/2/1965,6,"Co-Chair, Member | Foreign Affairs, Science / Technology"
Rep. Jack Bergman (R-MI-1),US Representative,Republican,75,2/2/1947,4,"Member | Armed Services, Veterans' Affairs"
Rep. Don Beyer (D-VA-8),US Representative,Democrat,71,6/20/1950,5,"Finance Co-Chair | Economy (Chair), Ways and Means, Science / Technology"
Rep. Stephanie Bice (R-OK-5),US Representative,Republican,48,11/11/1973,2,"Member | Armed Services, Science / Technology, Economic Disparity and Fairness in Growth"
Rep. Andy Biggs (R-AZ-5),US Representative,Republican,63,11/7/1958,4,"Judiciary, Oversight"
Rep. Gus Bilirakis (R-FL-12),US Representative,Republican,59,2/8/1963,9,Member | Energy
Rep. Dan Bishop (R-NC-9),US Representative,Republican,57,7/1/1964,3,"Member | Judiciary, Homeland Security"
Rep. Sanford Bishop (D-GA-2),US Representative,Democrat,75,2/4/1947,16,"Appropriations, Agriculture"
Rep. Earl Blumenauer (D-OR-3),US Representative,Democrat,73,8/16/1948,15,Ways and Means
Rep. Lisa Blunt Rochester (D-DE-1),US Representative,Democrat,60,2/10/1962,4,Member | Energy
Rep. Lauren Boebert (R-CO-3),US Representative,Republican,35,12/1/1986,2,"Member | Budget, Natural Resources"
Rep. Suzanne Bonamici (D-OR-1),US Representative,Democrat,67,10/14/1954,7,"Member | Education, Science / Technology, Climate Crisis"
Rep. Mike Bost (R-IL-12),US Representative,Republican,61,12/30/1960,5,"Veterans' Affairs (Ranking Member), Transportation"
Outgoing Rep. Carolyn Bourdeaux (D-GA-7),US Representative,Democrat,51,6/3/1970,1,"Small Business, Transportation"
Rep. Jamaal Bowman (D-NY-16),US Representative,Democrat,45,4/1/1976,2,"Education, Science / Technology"
Rep. Brendan Boyle (D-PA-2),US Representative,Democrat,45,2/6/1977,5,"Budget (Vice Chair), Ways and Means"
Outgoing Rep. Kevin Brady (R-TX-8),US Representative,Republican,66,4/11/1955,13,"Texas Representative I | Ways and Means (Ranking Member), Taxation"
Rep.-elect Josh Brecheen (R-OK-2),US Representative,Republican,43,6/19/1979,1,
Outgoing Rep. Mo Brooks (R-AL-5),US Representative,Republican,67,4/29/1954,6,"Armed Services, Science / Technology"
Rep. Shontel Brown (D-OH-11),US Representative,Democrat,46,6/24/1975,2,"Agriculture, Oversight"
Rep. Julia Brownley (D-CA-26),US Representative,Democrat,69,8/28/1952,6,"Member | Natural Resources, Transportation, Veterans' Affairs, Climate Crisis"
Rep. Vern Buchanan (R-FL-16),US Representative,Republican,70,5/8/1951,9,Florida Representative | Ways and Means
Rep. Ken Buck (R-CO-4),US Representative,Republican,63,2/16/1959,5,"Judiciary, Foreign Affairs"
Rep. Larry Bucshon (R-IN-8),US Representative,Republican,59,5/31/1962,7,"Chair, Member | Energy"
Rep.-elect Nikki Budzinski (D-IL-13),US Representative,Democrat,45,3/11/1977,1,
Rep. Tim Burchett (R-TN-2),US Representative,Republican,57,8/25/1964,3,"Foreign Affairs, Transportation"
Rep. Mike Burgess (R-TX-26),US Representative,Republican,71,12/23/1950,11,"Member | Rules, Budget, Energy"
Rep.-elect Eric Burlison (R-MO-7),US Representative,Republican,46,10/2/1976,1,
Rep. Cori Bush (D-MO-1),US Representative,Democrat,45,7/21/1976,2,"Member | Judiciary, Oversight"
Outgoing Rep. Cheri Bustos (D-IL-17),US Representative,Democrat,60,10/17/1961,5,"Co-Chair, DCCC Chairwoman, Member | Appropriations, Agriculture"
Outgoing Rep. Kenneth Butterfield (D-NC-1),US Representative,Democrat,74,4/27/1947,10,"Chief Deputy Majority Whip, Senior Chief Deputy Majority Whip | Energy, House Administration, Library"
Rep. Ken Calvert (R-CA-42),US Representative,Republican,68,6/8/1953,16,"Deputy Chair, Member | Appropriations"
Rep. Kat Cammack (R-FL-3),US Representative,Republican,34,2/16/1988,2,"Member | Agriculture, Homeland Security, Economic Disparity and Fairness in Growth"
Rep.-elect Yadira Caraveo (D-CO-8),US Representative,Democrat,42,12/23/1980,1,
Rep. Salud Carbajal (D-CA-24),US Representative,Democrat,57,11/18/1964,4,"Armed Services, Agriculture, Transportation"
Rep. Tony Cárdenas (D-CA-29),US Representative,Democrat,58,3/31/1963,6,Energy
Rep. Mike Carey (R-OH-15),US Representative,Republican,51,3/13/1971,2,"Budget, Science / Technology"
Rep. Jerry Carl (R-AL-1),US Representative,Republican,63,6/17/1958,2,"Armed Services, Natural Resources"
Rep. André Carson (D-IN-7),US Representative,Democrat,47,10/16/1974,9,"Intelligence, Transportation"
Rep. Buddy Carter (R-GA-1),US Representative,Republican,64,9/6/1957,5,"Deputy Chair, Member | Budget, Energy, Climate Crisis"
Rep. John Carter (R-TX-31),US Representative,Republican,80,11/6/1941,11,Texas Representative II | Appropriations
Rep. Troy Carter (D-LA-2),US Representative,Democrat,58,10/26/1963,2,"Small Business, Transportation"
Rep. Matt Cartwright (D-PA-8),US Representative,Democrat,60,5/1/1961,6,"Co-Chair, Member, Policy and Communications Committee Co-Chair | Appropriations"
Rep.-elect Greg Casar (D-TX-35),US Representative,Democrat,33,5/4/1989,1,
Rep. Ed Case (D-HI-1),US Representative,Democrat,69,9/27/1952,3,"Appropriations, Natural Resources"
Rep. Sean Casten (D-IL-6),US Representative,Democrat,50,11/23/1971,3,"Member | Financial Services, Science / Technology, Climate Crisis"
Rep. Kathy Castor (D-FL-14),US Representative,Democrat,55,8/20/1966,9,"Member | Climate Crisis (Chair), Energy"
Rep. Joaquin Castro (D-TX-20),US Representative,Democrat,47,9/16/1974,6,"Co-Chair, Member | Foreign Affairs, Intelligence, Education"
Outgoing Rep. Madison Cawthorn (R-NC-11),US Representative,Republican,26,8/1/1995,1,"Member | Education, Veterans' Affairs"
Outgoing Rep. Steve Chabot (R-OH-1),US Representative,Republican,69,1/22/1953,6,"Judiciary, Foreign Affairs"
Rep.-elect Lori Chavez-DeRemer (R-OR-5),US Representative,Republican,54,4/7/1968,1,
Outgoing Rep. Liz Cheney (R-WY-1),US Representative,Republican,55,7/28/1966,3,"Member | Armed Services, U.S. Capitol"
Rep. Sheila Cherfilus-McCormick (D-FL-20),US Representative,Democrat,43,1/25/1979,2,"Foreign Affairs, Transportation, Veterans' Affairs"
Rep. Judy Chu (D-CA-27),US Representative,Democrat,68,7/7/1953,8,"Member | Ways and Means, Budget, Small Business"
Rep. David Cicilline (D-RI-1),US Representative,Democrat,60,7/15/1961,7,"Policy and Communications Committee Chair | Judiciary, Foreign Affairs"
Rep.-elect Juan Ciscomani (R-AZ-6),US Representative,Republican,40,8/30/1982,1,
Whip Katherine Clark (D-MA-5),US Representative,Democrat,58,4/17/1963,6,"Assistant Speaker, Democratic Caucus Vice Chair, House Minority Whip, Member | Appropriations"
Rep. Yvette Clarke (D-NY-9),US Representative,Democrat,57,11/21/1964,9,"Member | Energy, Homeland Security"
Rep. Emanuel Cleaver (D-MO-5),US Representative,Democrat,77,10/26/1944,10,"Financial Services, Homeland Security, Modernization of Congress"
Rep. Ben Cline (R-VA-6),US Representative,Republican,50,2/29/1972,3,"Member | Appropriations, Budget"
Rep. Michael Cloud (R-TX-27),US Representative,Republican,46,5/13/1975,4,"Member | Agriculture, Oversight"
Whip Jim Clyburn (D-SC-6),US Representative,Democrat,81,7/21/1940,16,"House Assistant Minority Leader, House Majority Whip"
Rep. Andrew Clyde (R-GA-9),US Representative,Republican,58,11/22/1963,2,"Member | Homeland Security, Oversight"
Rep. Steve Cohen (D-TN-9),US Representative,Democrat,72,5/24/1949,9,"Judiciary, Natural Resources, Transportation"
Rep. Tom Cole (R-OK-4),US Representative,Republican,72,4/28/1949,11,"Member, Region IX Representative | Rules (Ranking Member), Appropriations (Assistant Ranking Minority Member)"
Rep.-elect Mike Collins (R-GA-10),US Representative,Republican,55,7/2/1967,1,
Rep. James Comer (R-KY-1),US Representative,Republican,49,8/19/1972,5,"Oversight and Accountability | Oversight (Ranking Member), Education"
Rep. Gerry Connolly (D-VA-11),US Representative,Democrat,71,3/30/1950,8,"Foreign Affairs, Oversight"
Outgoing Rep. Connie Conway (R-CA-22),US Representative,Republican,72,9/25/1950,1,"Natural Resources, Veterans' Affairs"
Outgoing Rep. Jim Cooper (D-TN-5),US Representative,Democrat,67,6/19/1954,10,"Budget, Armed Services, Intelligence, Oversight"
Rep. Lou Correa (D-CA-46),US Representative,Democrat,64,1/24/1958,4,"Judiciary, Agriculture, Homeland Security"
Rep. Jim Costa (D-CA-16),US Representative,Democrat,69,4/13/1952,10,"Foreign Affairs, Natural Resources, Agriculture"
Rep. Joe Courtney (D-CT-2),US Representative,Democrat,68,4/6/1953,9,"Armed Services, Education"
Rep. Angie Craig (D-MN-2),US Representative,Democrat,50,2/14/1972,3,"Member | Energy, Agriculture, Small Business, Economic Disparity and Fairness in Growth"
Rep.-elect Elijah Crane (R-AZ-2),US Representative,Republican,42,1/3/1980,1,
Rep. Rick Crawford (R-AR-1),US Representative,Republican,56,1/22/1966,7,"Agriculture (Assistant Ranking Minority Member), Intelligence, Transportation"
Rep. Dan Crenshaw (R-TX-2),US Representative,Republican,38,3/14/1984,3,"Member | Energy, Climate Crisis"
Rep.-elect Jasmine Crockett (D-TX-30),US Representative,Democrat,41,3/29/1981,1,Freshman Representative
Rep. Jason Crow (D-CO-6),US Representative,Democrat,42,3/15/1979,3,"Armed Services, Intelligence, Small Business"
Rep. Henry Cuellar (D-TX-28),US Representative,Democrat,66,9/19/1955,10,"Chief Deputy Majority Whip, Chief Deputy Whip, Vice Chair | Appropriations"
Rep. John Curtis (R-UT-3),US Representative,Republican,61,5/10/1960,4,Member | Energy
Rep. Sharice Davids (D-KS-3),US Representative,Democrat,41,5/22/1980,3,"Chief Deputy Whip, Member, Regional Whip | Transportation (Vice Chair), Agriculture, Small Business, Economy"
